"q5","q5_low","q5_high","q50","q50_low","q50_high","q95","q95_low","q95_high","year","HEXcell","code","cumObsDays","uniqObsDays","totalAbundance"
173.25,169,175.25,188,182.5,191,202,197,205.5,2020,507,"RE",28,28,28
145.9,141,152,191,185,194,231.1,228,236,2020,507,"RL",90,90,90
132.2,121,139,183,173,191,236.6,226,246.4,2020,507,"RP",77,77,77
167.4,160,169.6,179,173,182,198,189.4,202.4,2020,534,"RE",25,25,25
150,146,151.45,201,192,206,266.55,257.55,274.55,2020,534,"RL",129,128,128
131.95,124,143.25,200,190,207.5,260,249,266,2020,534,"RP",121,120,120
170.15,165,176.15,192.5,183.5,201,226.25,208.55,228,2020,535,"RE",24,24,24
159.2,146,165,190,185,195,244,235,255.8,2020,535,"RL",75,71,71
129.7,57,135.7,170,155,178,230.3,216,239,2020,535,"RP",39,39,39
163.5,157,169,192.5,182.5,201,238.5,227.25,251,2020,536,"RL",36,36,36
164.6,146,167.9,184,177,194,207.2,204,211,2020,562,"RE",39,37,37
146.2,139,152.2,195,187,199,250.9,247,261.6,2020,562,"RL",122,116,116
136.6,123.6,147,201,194,208,257.4,241.2,263,2020,562,"RP",97,91,91
159,136,166,199,188,203,237,229,250,2020,563,"RL",52,52,52
137.35,1,146.9,211.5,189,218.5,265.75,236,289,2020,563,"RP",42,42,42
171.3,167,174.6,189,180,201,219.3,209.7,223,2020,564,"RE",27,26,26
160,157,162.8,194,185,199,238,232,246.2,2020,564,"RL",91,82,82
137,124,144,168,160,171,227,202,249,2020,564,"RP",53,47,47
173,168,174,186,182,190,214,206,218.65,2020,565,"RE",31,31,31
159,155,161.8,199,193,203,249,243,250,2020,565,"RL",99,96,96
138,122,141,178,168,184,238.4,221,249,2020,565,"RP",74,74,74
170.6,168,175,184,179,187,204,196.6,207,2020,566,"RE",29,26,26
151,146,151,189,185,192,255.9,247.9,263.9,2020,566,"RL",152,123,123
132.95,124,138,178.5,170,185.5,249,237.05,255.35,2020,566,"RP",123,110,110
173,172,173,187,183,193,226,214,228,2020,567,"RE",38,35,35
157,154,158,201,196.5,204,269,265,270,2020,567,"RL",173,136,136
133,123,138,186,179,192.5,268,262,271,2020,567,"RP",157,139,139
160.3,154,164,203,195,207,250,243.1,262.4,2020,568,"RL",101,98,98
138,105.7,145,190,175.5,198,250.95,247.95,257,2020,568,"RP",81,80,80
145.9,119,152.8,212,197,220,281.1,270.4,287,2020,589,"RL",99,98,98
130,99,147,209,198,217,276.6,257.8,299,2020,589,"RP",93,92,92
166.1,164,171.55,184.5,181,189,204.45,201.45,207,2020,590,"RE",33,33,33
150,145,150,196,190,198,257,247.8,258.2,2020,590,"RL",133,130,130
142.4,129,147,202,195,206,261,256.6,264,2020,590,"RP",139,133,133
168,166,177,188.5,182.5,196,208.5,200.75,215,2020,591,"RE",26,24,24
156.9,152.45,159.45,199.5,194,205,256,248,259.1,2020,591,"RL",105,101,101
143.5,136,153,209,201,214,266,257.5,279.5,2020,591,"RP",120,115,115
172,158,172.65,188,183.5,193,207,203,213,2020,592,"RE",43,35,35
153,147.95,156,196.5,191.5,202,262.05,255.1,267,2020,592,"RL",165,127,127
143,137,146,194,184,202,251,243,261,2020,592,"RP",148,115,115
170,167,171,190,186,192,217,209.3,225.3,2020,593,"RE",69,55,55
152,149,152,195,192,197,266,263,269,2020,593,"RL",227,158,158
137.5,130.5,140,190,185,194,259.5,256,263,2020,593,"RP",222,166,166
171,168,172,189,184,193,210,205.45,214,2020,594,"RE",41,40,40
150,145,153,198,193,201,266,260,272,2020,594,"RL",169,139,139
53.15,27.05,68.05,187,178,195,257.95,250.95,263,2020,594,"RP",169,155,155
165,161,165,187,183,192,209.05,206.446763867712,215.05,2020,595,"RE",51,44,44
142,138.85,144.85,195,191,198,265,262,267,2020,595,"RL",217,161,161
116,103,120.8,189,183,193,268,261.013059086292,271.2,2020,595,"RP",222,178,178
117.4,101,143.9,208,198,215,270.4,264,280.3,2020,616,"RL",117,117,117
105.4,88,117.8,198,185,211,265.2,252.4,280,2020,616,"RP",99,99,99
131,117,141,208,197,216,285,275,288,2020,617,"RL",132,130,130
109,94,113.4,198,188,205,269,261.3,278.3,2020,617,"RP",143,142,142
162.6,152,167,179,174,181,209.8,195,217,2020,618,"RE",30,30,30
128,122,134.1,207,201,211,281,271,283.9,2020,618,"RL",185,175,175
122,112,133,205,199,208,270,265,275,2020,618,"RP",181,169,169
164,147,165,180.5,176.5,187,205,197,208.1,2020,619,"RE",36,34,34
151,145,151,209,203,213,271,268,276.3,2020,619,"RL",162,143,143
123.85,116.85,133.85,200,189,206,268,261.3,272,2020,619,"RP",168,150,150
170,163,171,190,185,194,213.1,208.6,219.1,2020,620,"RE",47,45,45
146,143,146,204,199,206,271,266,278,2020,620,"RL",204,166,166
124,119.45,131.5,200,194,204,264,260,269,2020,620,"RP",201,163,163
170.95,166,174.85,190.5,184,196,218.05,211,225,2020,621,"RE",40,40,40
148,141.2,149.2,205,199,209,267.9,262.9,275.6,2020,621,"RL",143,142,142
144,128,153,213,205,218,281,262,284,2020,621,"RP",126,126,126
171.35,169,173.35,186.5,179.5,194,215.5,197.3,220,2020,622,"RE",28,25,25
138,135,139.6,203,197,206,272,269,274,2020,622,"RL",188,164,164
123,110,124,197,191,201,275,270.75,277,2020,622,"RP",215,191,191
131.6,118,147,205,197,213,281,270.8,296,2020,644,"RL",123,123,123
96.5,89.5,100,189,174,198,270.5,258,283,2020,644,"RP",131,131,131
123,110,136.4,211,202,220,280,275.1,283.2,2020,645,"RL",140,140,140
108.45,101,113.35,203.5,197,209.5,264.55,257,274.85,2020,645,"RP",148,148,148
133,123,136,215,208.5,220,282,274.45,284,2020,646,"RL",179,174,174
102,94,111,208,200.5,214.5,280.65,274.25,285.65,2020,646,"RP",180,176,176
137.65,123,147,212,206,216.5,279,270.05,281.35,2020,647,"RL",166,164,164
111,97,123,211,204,217,275.2,269.2,281.2,2020,647,"RP",156,155,155
170.1,159,171.7,182,177,185,231.5,195.8,249,2020,648,"RE",23,23,23
120,110,123,202.5,197,208,272,266.5,276,2020,648,"RL",190,179,179
98.8,96,104.8,202,195,207,274.3,270.1,281,2020,648,"RP",198,188,188
116,110,119,203,198,206,283,278,284.1,2020,649,"RL",234,209,209
97,90,99,194,188,197,274,270,277,2020,649,"RP",250,218,218
101,93,108,207,198.5,216,285,277,290.65,2020,672,"RL",148,141,141
96,89,102.4,210,202,219,278.9,269.6,289.8,2020,672,"RP",122,116,116
121.5,115,135,219,210,228,277.75,271,281,2020,673,"RL",133,133,133
99.05,90.15,105,216.5,208,226.5,288.95,278.9,294.95,2020,673,"RP",139,139,139
103.85,97,109.55,213,199,222,274.15,269,295,2020,674,"RL",144,144,144
94.15,87.15,98,195.5,180.5,205,261.85,257.85,279.25,2020,674,"RP",152,152,152
117.5,108,124,201.5,195.5,209,278,270.75,286,2020,675,"RL",186,161,161
96.95,92,103,193.5,183,200,287,270.5,292,2020,675,"RP",201,174,174
103,99,105,201,196,205,294.35,292,297,2020,676,"RL",297,233,233
88,86,89,194,189,197,283,279,287,2020,676,"RP",303,236,236
108,99,115,212,205,218,287,281,290.85,2020,702,"RL",201,199,199
93,86.8,96,206,198,211,296.2,291,301,2020,702,"RP",238,229,229
98.8,93,102,211,200,216,294.2,288,298,2020,703,"RL",228,205,205
87,79.4288719419415,87.15,198,188.5,206,293,286.55,297.85,2020,703,"RP",250,218,218
105.5,89,114.25,223,179.5,244,295,280.75,328.25,2020,733,"RL",66,65,65
89.9,73,103.1,200,168,231,272.5,263.1,287,2020,733,"RP",59,58,58
170.65,164,174.45,190,180.5,198,207.2,200.3,211,2020,736,"RE",20,17,17
131.8,127.8,136,189,180,195,260,250.4,268,2020,736,"RL",131,115,115
119.7,112.2,123,188,178,200,264.9,249.3,280.3,2020,736,"RP",115,104,104
182.1,180,184.55,202,194,214,233.5,226.25,245,2020,739,"RE",32,31,31
160,156,161,198,190,201,259,251,264,2020,739,"RL",139,110,110
128.4,116,134.8,174,168,181,251,240.6,259.1,2020,739,"RP",107,99,99
137.8,137,145.7,182,163,202,250.4,226.8,257,2020,769,"RP",23,22,22
